activation,batch_size,dropout_rate,epochs,neurons,optimizer,verbose,score
selu,8,0.25,2000,10,adamax,0,-0.19729696214199066
selu,64,0.05,2000,10,rmsprop,0,-0.1982095167040825
tanh,32,0.15,2000,10,rmsprop,0,-0.19899852573871613
tanh,8,0.25,2000,10,adamax,0,-0.1990111991763115
elu,32,0.05,2000,10,adam,0,-0.19922007620334625
tanh,32,0.25,2000,10,rmsprop,0,-0.19926241040229797
elu,8,0.15,2000,10,adamax,0,-0.19932738691568375
tanh,64,0.25,2000,10,rmsprop,0,-0.19962401688098907
elu,4,0.25,2000,10,adamax,0,-0.19969423115253448
tanh,32,0.1,2000,10,rmsprop,0,-0.19970597326755524
tanh,8,0.15,2000,10,adamax,0,-0.1997147500514984
tanh,32,0.2,2000,10,adam,0,-0.19976157695055008
tanh,8,0.2,2000,10,adamax,0,-0.1997833549976349
elu,32,0.15,2000,10,rmsprop,0,-0.20002011954784393
elu,8,0.25,2000,10,adamax,0,-0.20017045736312866
elu,8,0.2,2000,10,adamax,0,-0.20024921745061874
tanh,64,0.1,2000,10,rmsprop,0,-0.2003144472837448
selu,4,0.1,2000,10,sgd,0,-0.20032434910535812
tanh,4,0.1,2000,10,adamax,0,-0.20033924281597137
tanh,4,0.25,2000,10,adamax,0,-0.20035294443368912
elu,64,0.25,2000,10,rmsprop,0,-0.20056714117527008
elu,32,0.25,2000,10,rmsprop,0,-0.200575053691864
selu,8,0.15,2000,10,adamax,0,-0.20066798478364944
elu,64,0.2,2000,10,rmsprop,0,-0.20068883895874023
selu,4,0.2,2000,10,adamax,0,-0.2006935104727745
selu,8,0.1,2000,10,adamax,0,-0.20077891647815704
tanh,64,0.15,2000,10,rmsprop,0,-0.2008127048611641
tanh,4,0.05,2000,10,adamax,0,-0.20098593831062317
tanh,32,0.25,2000,10,adam,0,-0.20105337351560593
selu,4,0.25,2000,10,adamax,0,-0.2011478990316391
selu,32,0.25,2000,10,adam,0,-0.20119911432266235
elu,8,0.1,2000,10,adamax,0,-0.20130226761102676
tanh,32,0.05,2000,10,rmsprop,0,-0.20135440677404404
selu,32,0.05,2000,10,adam,0,-0.2014225795865059
selu,4,0.2,2000,10,sgd,0,-0.20159702003002167
elu,64,0.15,2000,10,rmsprop,0,-0.20161254703998566
selu,32,0.2,2000,10,adam,0,-0.20165257155895233
selu,64,0.2,2000,10,rmsprop,0,-0.20166413486003876
selu,4,0.05,2000,10,sgd,0,-0.20176782459020615
elu,32,0.05,2000,10,rmsprop,0,-0.20184528827667236
tanh,4,0.15,2000,10,adamax,0,-0.20189468562602997
elu,32,0.2,2000,10,rmsprop,0,-0.20195989310741425
selu,64,0.25,2000,10,rmsprop,0,-0.20198097079992294
tanh,32,0.05,2000,10,adam,0,-0.20200234651565552
tanh,16,0.25,2000,10,rmsprop,0,-0.20211616903543472
elu,4,0.2,2000,10,sgd,0,-0.20215480029582977
elu,4,0.1,2000,10,sgd,0,-0.20218615233898163
tanh,32,0.15,2000,10,adam,0,-0.20222817361354828
tanh,8,0.1,2000,10,adamax,0,-0.20224479585886002
elu,8,0.2,2000,10,rmsprop,0,-0.20229893177747726
selu,16,0.15,2000,10,rmsprop,0,-0.20232262462377548
elu,64,0.1,2000,10,rmsprop,0,-0.20238570868968964
selu,4,0.25,2000,10,sgd,0,-0.2024061307311058
elu,16,0.25,2000,10,rmsprop,0,-0.2024187669157982
tanh,32,0.2,2000,10,rmsprop,0,-0.2025155872106552
selu,32,0.25,2000,10,rmsprop,0,-0.20269447565078735
selu,32,0.1,2000,10,adam,0,-0.2027003914117813
tanh,8,0.25,2000,10,rmsprop,0,-0.20282889157533646
selu,4,0.1,2000,10,adamax,0,-0.20283254235982895
selu,32,0.15,2000,10,rmsprop,0,-0.202971413731575
tanh,4,0.2,2000,10,adamax,0,-0.20297177881002426
tanh,4,0.25,2000,10,sgd,0,-0.20298948138952255
elu,8,0.15,2000,10,rmsprop,0,-0.2031187191605568
tanh,16,0.2,2000,10,rmsprop,0,-0.2033073827624321
tanh,16,0.05,2000,10,rmsprop,0,-0.20336799323558807
elu,16,0.25,2000,10,adam,0,-0.20338352024555206
selu,16,0.25,2000,10,adamax,0,-0.20340979099273682
selu,32,0.05,2000,10,adamax,0,-0.20347465574741364
tanh,16,0.2,2000,10,adamax,0,-0.20355623960494995
tanh,32,0.1,2000,10,adam,0,-0.20356954634189606
tanh,64,0.2,2000,10,rmsprop,0,-0.20361346751451492
elu,4,0.2,2000,10,adamax,0,-0.20373397320508957
sigmoid,8,0.2,2000,10,rmsprop,0,-0.20373982191085815
selu,64,0.1,2000,10,adamax,0,-0.20379826426506042
selu,16,0.25,2000,10,adam,0,-0.2038273960351944
selu,64,0.05,2000,10,adam,0,-0.20390129834413528
selu,4,0.15,2000,10,sgd,0,-0.20390988141298294
elu,32,0.15,2000,10,adam,0,-0.20392554253339767
selu,64,0.15,2000,10,rmsprop,0,-0.20394201576709747
selu,8,0.2,2000,10,sgd,0,-0.2041092962026596
sigmoid,4,0.1,2000,10,adam,0,-0.2041288986802101
tanh,4,0.15,2000,10,sgd,0,-0.20412949472665787
selu,64,0.25,2000,10,adam,0,-0.2041933313012123
selu,8,0.1,2000,10,sgd,0,-0.20426487177610397
selu,4,0.05,2000,10,adamax,0,-0.20428510010242462
elu,4,0.25,2000,10,sgd,0,-0.20429709553718567
selu,8,0.05,2000,10,adamax,0,-0.20430628955364227
relu,8,0.2,2000,10,sgd,0,-0.20430739223957062
elu,16,0.15,2000,10,rmsprop,0,-0.20432689040899277
elu,4,0.1,2000,10,adamax,0,-0.2043609321117401
sigmoid,4,0.1,2000,10,rmsprop,0,-0.2043931484222412
elu,16,0.2,2000,10,adam,0,-0.20442406833171844
tanh,16,0.25,2000,10,adam,0,-0.20453286170959473
elu,16,0.2,2000,10,rmsprop,0,-0.204548679292202
selu,64,0.05,2000,10,adamax,0,-0.20457293838262558
selu,8,0.2,2000,10,adamax,0,-0.2046210914850235
elu,4,0.15,2000,10,adamax,0,-0.2047586441040039
selu,32,0.2,2000,10,rmsprop,0,-0.20480883866548538
selu,16,0.2,2000,10,rmsprop,0,-0.20488564670085907
elu,8,0.05,2000,10,adamax,0,-0.20490050315856934
softplus,32,0.15,2000,10,rmsprop,0,-0.20498400181531906
elu,4,0.2,2000,10,rmsprop,0,-0.20498500764369965
selu,16,0.2,2000,10,adam,0,-0.20502280443906784
selu,4,0.25,2000,10,rmsprop,0,-0.20502912998199463
tanh,4,0.05,2000,10,sgd,0,-0.2050340697169304
tanh,16,0.25,2000,10,adamax,0,-0.20508365333080292
elu,32,0.25,2000,10,adam,0,-0.2051290050148964
softplus,16,0.05,2000,10,rmsprop,0,-0.20520144701004028
tanh,4,0.2,2000,10,sgd,0,-0.20531801879405975
elu,8,0.25,2000,10,adam,0,-0.2053685411810875
sigmoid,4,0.15,2000,10,adam,0,-0.2054005190730095
tanh,64,0.05,2000,10,rmsprop,0,-0.20541837811470032
sigmoid,4,0.05,2000,10,rmsprop,0,-0.20545977354049683
selu,4,0.15,2000,10,adamax,0,-0.20547603070735931
tanh,8,0.2,2000,10,adam,0,-0.2054973542690277
selu,32,0.05,2000,10,rmsprop,0,-0.20550188422203064
sigmoid,8,0.05,2000,10,rmsprop,0,-0.20552469044923782
relu,8,0.05,2000,10,sgd,0,-0.20553454756736755
sigmoid,16,0.1,2000,10,rmsprop,0,-0.20563241839408875
selu,64,0.2,2000,10,adamax,0,-0.20565882325172424
tanh,16,0.15,2000,10,adam,0,-0.20581691712141037
selu,4,0.25,2000,10,adam,0,-0.2058979496359825
elu,32,0.2,2000,10,adam,0,-0.20594698190689087
selu,8,0.05,2000,10,sgd,0,-0.20601502060890198
selu,64,0.2,2000,10,adam,0,-0.2060835137963295
elu,8,0.25,2000,10,rmsprop,0,-0.20609795302152634
elu,16,0.25,2000,10,adamax,0,-0.20609819889068604
elu,4,0.05,2000,10,sgd,0,-0.20615820586681366
elu,4,0.15,2000,10,sgd,0,-0.20617445558309555
elu,8,0.2,2000,10,adam,0,-0.20627468079328537
elu,16,0.15,2000,10,adam,0,-0.20632076263427734
tanh,4,0.1,2000,10,sgd,0,-0.20641706883907318
selu,16,0.25,2000,10,rmsprop,0,-0.20641790330410004
elu,64,0.05,2000,10,adam,0,-0.20655779540538788
softplus,32,0.1,2000,10,rmsprop,0,-0.20656222105026245
softplus,8,0.1,2000,10,adamax,0,-0.2067529335618019
elu,4,0.1,2000,10,rmsprop,0,-0.2068735584616661
relu,8,0.1,2000,10,sgd,0,-0.20689478516578674
selu,16,0.2,2000,10,adamax,0,-0.2069096714258194
selu,64,0.1,2000,10,adam,0,-0.20693761855363846
selu,8,0.25,2000,10,sgd,0,-0.20695319026708603
elu,32,0.1,2000,10,rmsprop,0,-0.20702572166919708
elu,64,0.05,2000,10,rmsprop,0,-0.20708181709051132
elu,8,0.15,2000,10,adam,0,-0.207108274102211
