acq_date,hotspot
2001-01-31,3
2001-02-28,5
2001-03-31,10
2001-04-30,20
2001-05-31,39
2001-06-30,8
2001-07-31,192
2001-08-31,171
2001-09-30,141
2001-10-31,20
2001-11-30,13
2001-12-31,4
2002-01-31,25
2002-02-28,12
2002-03-31,5
2002-04-30,14
2002-05-31,22
2002-06-30,78
2002-07-31,211
2002-08-31,3324
2002-09-30,2826
2002-10-31,3724
2002-11-30,237
2002-12-31,17
2003-01-31,17
2003-02-28,4
2003-03-31,26
2003-04-30,22
2003-05-31,101
2003-06-30,346
2003-07-31,418
2003-08-31,1584
2003-09-30,1504
2003-10-31,309
2003-11-30,16
2003-12-31,12
2004-01-31,13
2004-02-29,6
2004-03-31,13
2004-04-30,26
2004-05-31,36
2004-06-30,224
2004-07-31,186
2004-08-31,2256
2004-09-30,3659
2004-10-31,2070
2004-11-30,562
2004-12-31,5
2005-01-31,32
2005-02-28,9
2005-03-31,9
2005-04-30,26
2005-05-31,46
2005-06-30,70
2005-07-31,280
2005-08-31,1211
2005-09-30,1616
2005-10-31,264
2005-11-30,34
2005-12-31,33
2006-01-31,4
2006-02-28,17
2006-03-31,18
2006-04-30,24
2006-05-31,55
2006-06-30,104
2006-07-31,507
2006-08-31,3585
2006-09-30,7640
2006-10-31,8662
2006-11-30,1072
2006-12-31,154
2007-01-31,14
2007-02-28,22
2007-03-31,17
2007-04-30,26
2007-05-31,53
2007-06-30,92
2007-07-31,238
2007-08-31,1312
2007-09-30,2377
2007-10-31,988
2007-11-30,107
2007-12-31,18
2008-01-31,30
2008-02-29,9
2008-03-31,13
2008-04-30,54
2008-05-31,223
2008-06-30,254
2008-07-31,583
2008-08-31,932
2008-09-30,1760
2008-10-31,269
2008-11-30,36
2008-12-31,5
2009-01-31,13
2009-02-28,15
2009-03-31,75
2009-04-30,109
2009-05-31,195
2009-06-30,304
2009-07-31,1044
2009-08-31,2453
2009-09-30,4372
2009-10-31,401
2009-11-30,81
2009-12-31,17
2010-01-31,8
2010-02-28,9
2010-03-31,11
2010-04-30,39
2010-05-31,56
2010-06-30,62
2010-07-31,187
2010-08-31,456
2010-09-30,371
2010-10-31,356
2010-11-30,35
2010-12-31,43
2011-01-31,9
2011-02-28,49
2011-03-31,19
2011-04-30,30
2011-05-31,145
2011-06-30,218
2011-07-31,642
2011-08-31,2366
2011-09-30,5726
2011-10-31,529
2011-11-30,243
2011-12-31,34
2012-01-31,68
2012-02-29,22
2012-03-31,53
2012-04-30,117
2012-05-31,165
2012-06-30,674
2012-07-31,800
2012-08-31,2699
2012-09-30,5141
2012-10-31,1719
2012-11-30,73
2012-12-31,8
2013-01-31,26
2013-02-28,13
2013-03-31,63
2013-04-30,17
2013-05-31,66
2013-06-30,230
2013-07-31,130
2013-08-31,1122
2013-09-30,789
2013-10-31,326
2013-11-30,76
2013-12-31,9
2014-01-31,1
2014-02-28,38
2014-03-31,76
2014-04-30,45
2014-05-31,135
2014-06-30,194
2014-07-31,543
2014-08-31,1038
2014-09-30,4484
2014-10-31,4306
2014-11-30,1749
2014-12-31,22
2015-01-31,26
2015-02-28,40
2015-03-31,32
2015-04-30,40
2015-05-31,181
2015-06-30,332
2015-07-31,891
2015-08-31,2776
2015-09-30,14181
2015-10-31,14416
2015-11-30,1533
2015-12-31,78
2016-01-31,36
2016-02-29,13
2016-03-31,28
2016-04-30,22
2016-05-31,18
2016-06-30,70
2016-07-31,93
2016-08-31,229
2016-09-30,165
2016-10-31,54
2016-11-30,15
2016-12-31,7
2017-01-31,12
2017-02-28,3
2017-03-31,19
2017-04-30,20
2017-05-31,41
2017-06-30,62
2017-07-31,107
2017-08-31,158
2017-09-30,264
2017-10-31,61
2017-11-30,21
2017-12-31,26
2018-01-31,26
2018-02-28,13
2018-03-31,8
2018-04-30,29
2018-05-31,34
2018-06-30,28
2018-07-31,147
2018-08-31,182
2018-09-30,411
2018-10-31,352
2018-11-30,38
2018-12-31,26
2019-01-31,10
2019-02-28,7
2019-03-31,18
2019-04-30,21
2019-05-31,75
2019-06-30,44
2019-07-31,115
2019-08-31,732
2019-09-30,3962
2019-10-31,3913
2019-11-30,1735
2019-12-31,44
2020-01-31,27
2020-02-29,24
2020-03-31,59
2020-04-30,60
2020-05-31,27
2020-06-30,24
2020-07-31,29
2020-08-31,65
2020-09-30,29
2020-10-31,40
2020-11-30,30
2020-12-31,8
