batch_size,epochs,model__activation,model__dropout_rate,model__optimizer,score
8,2000,selu,0.25,sgd,-0.2070505211879971
2,2000,tanh,0.1,sgd,-0.20860650877530273
8,2000,selu,0.2,sgd,-0.20891768281163686
4,2000,elu,0.2,sgd,-0.20894815826273844
4,2000,selu,0.2,sgd,-0.2089957594285372
2,2000,selu,0.15,sgd,-0.20907356713464237
2,2000,elu,0.2,sgd,-0.209253250814801
2,2000,selu,0.25,sgd,-0.20942488660189823
2,2000,tanh,0.2,sgd,-0.20956548087557
2,2000,tanh,0.25,sgd,-0.20980228932905035
4,2000,elu,0.25,sgd,-0.20992551049661656
4,2000,selu,0.15,sgd,-0.21086910017173544
4,2000,elu,0.1,sgd,-0.21125721117561747
8,2000,selu,0.15,sgd,-0.21130251539773498
4,2000,elu,0.15,sgd,-0.2115720874930668
4,2000,tanh,0.05,sgd,-0.21182719913885323
4,2000,selu,0.25,sgd,-0.2118538439462721
2,2000,elu,0.15,sgd,-0.2122245328339366
4,2000,tanh,0.25,sgd,-0.21232988628590632
4,2000,tanh,0.2,sgd,-0.21239191792267975
8,2000,selu,0.05,sgd,-0.21247039295297535
2,2000,tanh,0.15,sgd,-0.2124761829013746
2,2000,elu,0.25,sgd,-0.21279096205038162
4,2000,tanh,0.15,sgd,-0.21288267624968704
16,2000,selu,0.2,adam,-0.21304990276854557
8,2000,elu,0.25,sgd,-0.21313411837232682
4,2000,selu,0.15,adamax,-0.2134038577816466
2,2000,elu,0.1,sgd,-0.2135811509366065
16,2000,selu,0.25,sgd,-0.21358135394415992
8,2000,elu,0.2,sgd,-0.2138030204377926
4,2000,tanh,0.1,sgd,-0.21382902916750157
32,2000,selu,0.25,adam,-0.2138623019062888
2,2000,selu,0.1,sgd,-0.21388464079741543
4,2000,relu,0.05,sgd,-0.21388845093403416
32,2000,elu,0.2,adam,-0.21406309235169954
4,2000,selu,0.1,sgd,-0.21407416709990879
32,2000,selu,0.05,rmsprop,-0.21408534245849017
8,2000,tanh,0.25,sgd,-0.21408838169709168
4,2000,selu,0.05,sgd,-0.21430964627167637
4,2000,elu,0.05,sgd,-0.21441338665038423
8,2000,tanh,0.15,sgd,-0.21442873786178568
8,2000,tanh,0.2,sgd,-0.21448077493646006
32,2000,tanh,0.25,adam,-0.21464161001339868
32,2000,tanh,0.2,adam,-0.21477999209511794
8,2000,selu,0.1,sgd,-0.21482507965284048
8,2000,tanh,0.05,sgd,-0.21484604581060618
16,2000,selu,0.15,adam,-0.21517378887271493
32,2000,elu,0.25,adam,-0.21518824595112107
2,2000,elu,0.05,sgd,-0.21520156594537326
16,2000,selu,0.05,adamax,-0.21553254577368633
2,2000,relu,0.1,sgd,-0.21566840932602122
16,2000,tanh,0.15,adam,-0.2157690224956334
2,2000,selu,0.2,sgd,-0.21578753176445487
16,2000,selu,0.1,adam,-0.21578916376822718
