batch_size,epochs,model__activation,model__dropout_rate,model__optimizer,score
2,10,selu,0.1,rmsprop,-0.2045988058988678
4,10,elu,0.1,adam,-0.20499887810927364
4,10,selu,0.1,adamax,-0.20529107536843158
2,10,selu,0.25,rmsprop,-0.20628359909973354
2,10,relu,0.05,adam,-0.20638577465983032
4,10,selu,0.15,adam,-0.2063985203461875
4,10,elu,0.25,adam,-0.20646308380467848
2,10,tanh,0.2,adam,-0.20659156914827947
2,10,elu,0.05,adam,-0.20666383310850361
4,10,tanh,0.1,adam,-0.2068420495107481
2,10,elu,0.1,adam,-0.20688094631284998
2,10,selu,0.25,adam,-0.2069372429438226
2,10,tanh,0.1,rmsprop,-0.20696514177970082
4,10,elu,0.05,adam,-0.20728453353291482
4,10,selu,0.05,adam,-0.2073118883440714
2,10,elu,0.25,rmsprop,-0.20758386082520522
4,10,elu,0.05,rmsprop,-0.20759093188279523
4,10,selu,0.1,adam,-0.20787978376134447
2,10,tanh,0.25,adamax,-0.20791102206526646
2,10,elu,0.2,rmsprop,-0.2079701742663471
4,10,selu,0.1,rmsprop,-0.20850587637708567
2,10,selu,0.05,adam,-0.20858976216246863
2,10,elu,0.15,adamax,-0.20862047625299054
2,10,tanh,0.05,adam,-0.20867599082424718
2,10,selu,0.05,rmsprop,-0.20872819717795277
2,10,selu,0.05,adamax,-0.20879205118703878
2,10,tanh,0.05,rmsprop,-0.20879581591725033
4,10,tanh,0.1,rmsprop,-0.20882679996580733
4,10,elu,0.15,rmsprop,-0.20903622295239116
2,10,tanh,0.1,adam,-0.20945898006886354
2,10,elu,0.15,rmsprop,-0.20948861716629213
4,10,elu,0.15,adam,-0.209614858507708
2,10,selu,0.2,adam,-0.20961786103569152
4,10,selu,0.2,adam,-0.2096301951784074
2,10,elu,0.2,adam,-0.20973659817734813
4,10,elu,0.1,rmsprop,-0.20982243185924584
4,10,tanh,0.2,adam,-0.2098258374412755
4,10,selu,0.15,rmsprop,-0.20989479830020985
2,10,tanh,0.15,adamax,-0.2100763509951075
2,10,relu,0.1,adam,-0.2100990544789893
4,10,relu,0.15,adam,-0.21021575993623226
2,10,selu,0.2,rmsprop,-0.21037776875865416
2,10,elu,0.15,adam,-0.21059261133300597
2,10,elu,0.05,adamax,-0.21093210863200532
4,10,selu,0.2,rmsprop,-0.21095278642428672
2,10,tanh,0.2,rmsprop,-0.21105822607101243
2,10,tanh,0.25,adam,-0.2112010921770514
2,10,selu,0.15,adam,-0.2112630170025856
4,10,tanh,0.05,adam,-0.2114589753155573
4,10,elu,0.2,rmsprop,-0.21152979474072858
2,10,selu,0.1,adam,-0.21168880517184366
2,10,selu,0.1,adamax,-0.21188391007696147
4,10,selu,0.25,adam,-0.21188485000423013
2,10,elu,0.05,rmsprop,-0.2120689212578441
4,10,tanh,0.05,rmsprop,-0.21227867971545944
2,10,elu,0.1,adamax,-0.21238977165948777
2,10,selu,0.15,rmsprop,-0.21242746592283784
4,10,selu,0.05,rmsprop,-0.21243639546894416
2,10,tanh,0.2,adamax,-0.21302921449254872
4,10,tanh,0.15,rmsprop,-0.2133187412997004
4,10,tanh,0.15,adam,-0.21351986706364018
2,10,tanh,0.1,adamax,-0.2138093230403314
2,10,relu,0.1,rmsprop,-0.21399356369677078
2,10,selu,0.25,adamax,-0.2140078076564531
2,10,tanh,0.15,adam,-0.21404208385405799
4,10,elu,0.2,adam,-0.21404601947917673
4,10,tanh,0.2,rmsprop,-0.2140779703321215
2,10,tanh,0.15,rmsprop,-0.21410905111698125
2,10,elu,0.1,rmsprop,-0.2144237361898707
2,10,selu,0.2,adamax,-0.21448023412050454
4,10,selu,0.25,rmsprop,-0.2147797990492821
2,10,elu,0.2,adamax,-0.214979233777727
2,10,elu,0.25,adamax,-0.21498575605002934
2,10,relu,0.15,rmsprop,-0.21587035088193285
2,10,relu,0.15,adam,-0.21621239655573987
2,10,tanh,0.05,adamax,-0.21623605396698214
