activation,batch_size,dropout_rate,epochs,neurons,optimizer,verbose,score
elu,16,0.15,2000,10,rmsprop,0,-0.08060267940163612
elu,16,0.15,2000,10,adam,0,-0.08131909742951393
tanh,16,0.2,2000,10,adam,0,-0.08140650764107704
selu,16,0.15,2000,10,adam,0,-0.08140948787331581
elu,4,0.2,2000,10,adamax,0,-0.0815572701394558
elu,16,0.25,2000,10,rmsprop,0,-0.08158966898918152
selu,16,0.25,2000,10,adam,0,-0.08160115405917168
elu,16,0.2,2000,10,adam,0,-0.0816083624958992
selu,32,0.2,2000,10,rmsprop,0,-0.08164895698428154
elu,4,0.15,2000,10,adamax,0,-0.08166783675551414
tanh,32,0.25,2000,10,rmsprop,0,-0.08167407661676407
selu,16,0.2,2000,10,rmsprop,0,-0.08168147504329681
selu,32,0.25,2000,10,rmsprop,0,-0.081737469881773
elu,32,0.25,2000,10,rmsprop,0,-0.08174044638872147
tanh,16,0.1,2000,10,rmsprop,0,-0.0817522257566452
tanh,4,0.2,2000,10,adamax,0,-0.08175228536128998
tanh,4,0.1,2000,10,adamax,0,-0.08184093609452248
selu,8,0.05,2000,10,adam,0,-0.08184166625142097
elu,64,0.25,2000,10,rmsprop,0,-0.08185354620218277
elu,16,0.25,2000,10,adam,0,-0.08195028454065323
elu,16,0.2,2000,10,rmsprop,0,-0.08200271800160408
tanh,4,0.2,2000,10,rmsprop,0,-0.08202590420842171
elu,16,0.1,2000,10,adam,0,-0.08204610645771027
elu,32,0.2,2000,10,rmsprop,0,-0.08206511661410332
tanh,16,0.25,2000,10,adam,0,-0.08207236602902412
tanh,8,0.15,2000,10,adam,0,-0.08219769224524498
selu,32,0.1,2000,10,rmsprop,0,-0.08221185579895973
tanh,4,0.25,2000,10,adamax,0,-0.08221741765737534
selu,64,0.25,2000,10,rmsprop,0,-0.0822318010032177
selu,16,0.25,2000,10,rmsprop,0,-0.0822717621922493
tanh,16,0.2,2000,10,rmsprop,0,-0.08228112012147903
elu,32,0.1,2000,10,rmsprop,0,-0.08231528103351593
elu,8,0.2,2000,10,adamax,0,-0.08233080431818962
tanh,8,0.05,2000,10,adam,0,-0.08233585581183434
tanh,16,0.15,2000,10,adam,0,-0.08233597129583359
tanh,4,0.05,2000,10,rmsprop,0,-0.08234819769859314
tanh,32,0.15,2000,10,rmsprop,0,-0.08235659450292587
selu,32,0.15,2000,10,rmsprop,0,-0.08237437158823013
elu,32,0.15,2000,10,rmsprop,0,-0.08242283016443253
elu,8,0.25,2000,10,adamax,0,-0.08244411274790764
selu,16,0.1,2000,10,adam,0,-0.08249165862798691
selu,16,0.2,2000,10,adam,0,-0.08249550312757492
elu,16,0.1,2000,10,rmsprop,0,-0.08250755444169044
selu,32,0.2,2000,10,adam,0,-0.08254443481564522
tanh,64,0.25,2000,10,rmsprop,0,-0.08254600688815117
elu,8,0.25,2000,10,rmsprop,0,-0.08254614844918251
tanh,32,0.2,2000,10,rmsprop,0,-0.08256293460726738
selu,4,0.2,2000,10,adamax,0,-0.08262582123279572
selu,8,0.15,2000,10,adam,0,-0.08263207599520683
selu,4,0.25,2000,10,adamax,0,-0.08265893161296844
tanh,8,0.2,2000,10,rmsprop,0,-0.08267997205257416
selu,16,0.25,2000,10,adamax,0,-0.08269256353378296
elu,8,0.15,2000,10,adamax,0,-0.08269312977790833
tanh,4,0.15,2000,10,adamax,0,-0.082704558968544
elu,8,0.05,2000,10,rmsprop,0,-0.08272093906998634
tanh,8,0.1,2000,10,rmsprop,0,-0.08273886516690254
tanh,8,0.25,2000,10,adamax,0,-0.08274498954415321
tanh,16,0.1,2000,10,adam,0,-0.08275330439209938
selu,8,0.2,2000,10,adamax,0,-0.08280206099152565
elu,4,0.25,2000,10,adamax,0,-0.0828051045536995
tanh,8,0.2,2000,10,adamax,0,-0.08282484859228134
tanh,8,0.15,2000,10,adamax,0,-0.08286121487617493
elu,8,0.05,2000,10,adam,0,-0.08287523686885834
selu,4,0.1,2000,10,adamax,0,-0.08287883922457695
selu,8,0.25,2000,10,adamax,0,-0.0829082801938057
elu,32,0.15,2000,10,adam,0,-0.08294534310698509
tanh,16,0.15,2000,10,rmsprop,0,-0.08294877409934998
selu,8,0.15,2000,10,rmsprop,0,-0.08298461884260178
